ref_code,base_y,base_x,offsets
W5N/SE-035,13243,-27701,-1:1 0:0 2:0
W5N/SG-001,13700,-27197,-4:-1 -3:-3 -3:-2 -3:-1 -3:0 -3:1 -2:-4 -2:-3 -2:-2 -2:-1 -2:0 -2:1 -1:-4 -1:-3 -1:-2 -1:-1 -1:0 -1:1 0:-4 0:-3 0:-2 0:-1 0:0 0:1 0:2 1:-4 1:-3 1:-2 1:-1 1:0 1:1 2:-4 2:1
W5N/SG-002,13564,-27132,0:-1 0:0 1:0 2:0 3:0
W5N/SG-003,13594,-27052,-1:-1 -1:0 -1:2 0:0 0:1 1:0 2:0 2:1
W5N/SG-004,13671,-27170,-5:-1 -5:0 -5:1 -5:2 -4:-1 -4:0 -4:1 -4:2 -4:3 -3:-1 -3:0 -3:1 -3:2 -3:3 -3:4 -2:0 -2:1 -2:2 -2:3 -2:4 -1:0 -1:1 -1:2 -1:3 -1:4 0:0 0:1 0:2 0:3 1:2
W5N/SG-005,13549,-27128,0:0 0:1 1:0 1:1 2:1
W5N/SG-006,13552,-27121,0:-1 0:0 0:1 1:0 1:1 2:0
W5N/SG-007,13549,-27105,0:0 1:-2
W5N/SG-008,13544,-27130,-5:1 -2:0 -1:0 0:0 1:-1 1:0 4:2
W5N/SG-009,13623,-27076,-1:0 0:0 0:1
W5N/SG-010,13633,-27097,-1:-1 0:-1 0:0 1:-1 1:0
W5N/SG-011,13547,-27140,0:0 0:1
W5N/SG-012,13637,-27086,0:-1 0:0
W5N/SI-001,13040,-27722,-2:2 -1:1 -1:2 0:0 0:1 1:0 1:1 2:0 3:0 4:0 5:0
W5N/SI-002,12811,-27721,0:-1 0:0 1:0 2:0 3:0 4:0 5:0
W5N/SI-003,13007,-27717,-2:0 -2:1 -1:0 -1:1 0:0 0:1 1:1 2:1 3:2 4:2
W5N/SI-004,12876,-27717,-4:3 -3:3 -2:1 -2:2 -2:3 -1:0 -1:1 -1:2 -1:3 0:0 0:1 0:2 0:3 1:-1 1:0 1:2 1:3 2:2 2:3 3:2 3:3 4:2
W5N/SI-005,12893,-27710,0:0 0:1 1:-2 2:-2
W5N/SI-006,12852,-27709,-3:-1 -2:-1 -1:-1 -1:0 0:-2 0:0 1:-3 1:-2 1:0 1:1 2:-2 3:-2
W5N/SI-007,12840,-27717,-4:1 -2:2 -1:0 0:0 1:0 2:1
W5N/SI-008,13087,-27649,-3:-1 -1:0 -1:1 0:0
W5N/SI-009,13031,-27662,-1:0 0:-1 0:0 0:1 1:1 3:1 4:2
W5N/SI-010,13049,-27710,-4:-2 -4:-1 -4:0 -3:-3 -1:-4 -1:1 0:0 0:1 1:0
W5N/SI-012,13055,-27654,-1:1 0:-1 0:0 1:1 2:1
W5N/SI-013,13054,-27648,0:0 1:1
W5N/SL-001,12859,-28086,-3:-1 -3:0 -3:1 -2:-2 -2:-1 -2:0 -2:1 -2:2 -1:-2 -1:-1 -1:0 -1:1 -1:2 0:-2 0:-1 0:0 0:1 0:2 1:-1 1:0 1:1 1:2
W5N/SL-002,12947,-28060,-3:-3 -3:-2 -3:-1 -3:0 -3:1 -2:-3 -2:-2 -2:-1 -2:0 -2:1 -2:2 -1:-4 -1:-3 -1:-2 -1:-1 -1:0 -1:1 -1:2 0:-4 0:-3 0:-2 0:-1 0:0 0:1 0:2 0:3 1:-4 1:-3 1:-2 1:-1 1:0 1:1 1:2 1:3 2:-4 2:-3 2:-2 2:-1 2:0 2:1 2:2 2:4 3:-3 3:-2 3:-1 3:0 3:1 4:-2
W5N/SM-001,13051,-28024,-1:1 0:0
W5N/SM-002,13109,-27987,-1:0 -1:1 0:-1 0:0 0:1 1:0 3:2
W5N/SM-003,13119,-27964,-5:1 -2:-1 -2:0 -1:-2 -1:-1 -1:0 -1:1 -1:2 0:-2 0:-1 0:0 0:1 0:2 1:-1 1:0 1:1 1:2 1:3 2:-1 2:0 2:1 2:2 2:3 3:-1 3:0 3:1 3:2 4:-1 4:0 4:1
W5N/SM-004,13085,-27974,0:-1 0:0 1:-1 3:-3
W5N/SM-006,13150,-27981,-3:3 -2:3 -2:4 -1:2 -1:3 -1:4 0:0 0:3 0:4 1:4
W5N/SM-007,13041,-28064,-1:-2 -1:-1 0:-2 0:-1 0:0 0:1 1:-2 1:-1 1:0 1:1 1:2 1:3 2:0 2:1
W5N/SM-008,13121,-28059,-4:2 -3:1 -3:2 -3:3 -2:-1 -2:0 -2:1 -2:2 -2:3 -1:-1 -1:0 -1:1 -1:2 -1:3 0:-1 0:0 0:1 0:2 0:3 1:-1 1:0 1:1 1:2 2:-1 2:0 2:1 2:2 2:3 3:-1 3:0 3:1 3:2 4:0 4:1
W5N/SM-009,13131,-28066,-3:3 -2:1 -2:2 -2:3 -1:0 -1:1 -1:2 -1:3 -1:4 0:0 0:1 0:2 0:3 0:4 1:0 1:1 1:2 1:3 1:4 2:-2 2:-1 2:0 2:1 2:2 2:3 3:-3 3:-2 3:-1 3:0 3:1 3:2 3:3 4:-2 4:-1 4:0 4:1 4:2
W5N/SM-010,13148,-28098,-1:0 0:-4 0:-3 0:0 1:-2 1:-1 1:0 2:-1 3:-1
W5N/SM-012,13135,-28012,0:0
W5N/SM-013,13147,-28076,-4:1 -1:1 -1:2 -1:3 0:-2 0:-1 0:0 0:1 0:2 0:3 0:4 1:-2 1:-1 1:0 1:1 1:3 1:4 2:-1 2:0 3:-3 3:-2 3:0 4:-2
W5N/SM-014,13125,-28110,-2:2 -1:0 -1:1 -1:2 0:0 0:1 0:2 0:3 1:-1 1:0 1:1 1:2 1:3 1:4 2:0 2:1 2:2 2:3 3:2
W5N/SR-001,12102,-27744,0:-1 0:0 1:-1
W5N/SS-001,13539,-27453,-3:1 0:0 1:1 2:1
W5N/SS-003,13689,-27432,-4:2 -3:1 -3:2 -3:3 -2:1 -2:2 -2:3 -1:-2 -1:-1 -1:0 -1:1 -1:2 -1:3 0:-2 0:-1 0:0 0:1 2:1
W5N/SS-004,13537,-27460,-2:0 -2:1 -1:0 0:0
W5N/SS-005,13626,-27473,-1:0 -1:2 0:0 0:1 1:2 2:4 4:-2
W5N/SS-006,13571,-27463,-1:0 0:0 1:0
W5N/SS-007,13531,-27465,-1:0 0:0 1:-1
W5N/SS-008,13515,-27470,-1:0 0:0 0:1
W5N/SS-009,13559,-27486,-1:0 0:0 0:1 0:2 1:0 2:0 3:0
W5N/SS-010,13420,-27452,-5:-1 -4:-2 -4:-1 -3:-3 -3:-2 -3:-1 -2:-2 -2:-1 -1:0 -1:1 0:0 0:1 0:2 1:1 1:2
W5N/SS-012,13567,-27451,-3:0 -2:-1 -2:0 -1:-1 -1:0 0:-1 0:0 1:0
W5N/SS-013,13433,-27437,-2:0 -1:-1 -1:0 0:-1 0:0 0:1 1:0
W5N/SS-015,13615,-27443,-3:0 -1:-1 -1:0 -1:1 -1:2 -1:3 0:-1 0:0 0:1 0:2 0:3 1:0 1:1
W5N/SS-016,13608,-27427,-1:0 -1:1 0:-1 0:0 0:1 1:0 2:0 3:-1 3:0 4:-1 4:0 5:-1 5:0
W5N/SS-018,13603,-27455,0:0 1:1
W5N/SS-021,13424,-27515,0:0 1:0 2:-1
W5N/SS-023,13484,-27454,-1:-1 -1:0 0:-1 0:0 0:1 1:0
W5N/SS-024,13459,-27455,-3:-1 -3:0 -2:0 -2:1 -1:0 -1:1 -1:2 -1:3 0:-1 0:0 0:1 0:2 0:3 0:4 1:0 1:1 2:1
W5N/SS-026,13375,-27457,-2:-4 -2:-3 -1:-4 -1:-3 -1:0 0:-4 0:-3 0:-2 0:-1 0:0 1:-4 1:-2 1:-1 1:0 1:1 2:-1 2:0 2:1
W5N/SS-029,13485,-27463,-1:0 -1:1 0:0 0:1
W5N/SS-030,13680,-27522,-1:1 0:0 0:1 1:-1 1:0 2:-2 2:-1 2:0 3:-1 3:0
W5N/SS-032,13555,-27421,0:-1 0:0 1:-2 1:-1 1:0 2:-1
W5N/SS-036,13607,-27508,0:0 1:0 1:1
W5N/SS-037,13598,-27513,-1:-1 -1:0 0:-1 0:0 1:0 2:0 3:-2 3:-1 3:0 4:-1
W5O/KI-001,12824,-24691,-1:0 -1:1 -1:2 -1:3 0:-3 0:-2 0:-1 0:0 0:1 0:2 1:-4 1:-3 1:-2 1:-1 1:0
W5O/KI-013,12804,-24629,-1:-4 0:-2 0:-1 0:0 0:1 1:-2 1:-1 1:0 1:1 2:-1 2:0 5:0 5:1
W5O/OU-001,12812,-24626,-3:1 -2:-2 -2:0 -2:1 -1:-3 -1:-2 -1:-1 -1:0 -1:1 -1:2 -1:3 0:-4 0:-3 0:-2 0:-1 0:0 0:1 0:3 0:4 1:-1 1:0 1:1 2:-2 2:-1 2:0 2:1 3:-1
W5O/OU-002,12855,-24656,-1:-3 -1:1 -1:2 0:-3 0:-2 0:-1 0:0 0:2
W5O/OU-003,12811,-24600,-4:-2 -4:-1 -3:-3 -3:-1 -3:0 -2:0 -1:0 -1:1 0:-1 0:0 0:1 1:-1 1:2 3:1 4:0
W5O/OU-004,12935,-24608,-2:1 -1:-1 -1:0 -1:1 -1:2 -1:3 0:-1 0:0 0:1 0:2 0:3 1:-1 1:0
W5O/OU-005,12879,-24713,-1:0 -1:1 -1:2 -1:3 0:-1 0:0 0:1 0:2 1:-2 1:-1 2:-2 2:-1
W5O/OU-013,12820,-24624,-2:-4 -2:-3 -1:-4 -1:-3 -1:-2 -1:-1 -1:0 -1:1 -1:2 0:-1 0:0 0:1 1:0 2:1
W5O/QA-001,12915,-25858,-2:-1 -2:2 -1:-1 -1:0 0:0 1:0
W5O/QA-002,12906,-25844,-3:-1 -2:-1 -2:0 -1:-1 -1:0 0:0 1:0
W5O/QA-003,12954,-25889,-2:-1 -1:0 -1:1 0:0 0:1 1:0 1:1
W5O/QA-004,12917,-25835,-1:-1 0:0 1:0
W5O/SO-001,12972,-24602,0:0 0:1 1:0 1:1
W5O/SO-002,12989,-24657,-2:-2 -2:-1 -2:0 -1:-3 -1:-2 -1:-1 -1:0 -1:1 0:-3 0:-2 0:-1 0:0 0:1 1:-1 1:0 1:1 1:2 2:-1 2:0 2:1 2:2 3:-1 3:0
W5O/WI-001,12903,-25731,-1:0 -1:1 0:-1 0:0 0:1 1:-1
W5O/WI-002,12868,-25660,-1:0 0:-1 0:0 1:0
W5O/WI-003,12888,-25723,-2:3 -2:4 -1:1 -1:3 -1:4 0:0 0:1 0:2 0:3 0:4 1:0 1:1 1:2 1:3 1:4 2:0 2:2 3:2
W5O/WI-004,12875,-25675,-2:-2 -2:0 -1:0 0:0
W5O/WI-005,12867,-25694,-1:-1 0:-1 0:0 1:-1 1:0
W5O/WI-006,12894,-25730,-3:0 -2:-1 -2:1 -1:-1 -1:0 -1:1 0:-1 0:0 0:1 1:-2 1:-1 2:0
W5O/WI-007,12860,-25710,-4:1 -3:0 -2:0 -2:1 -1:-1 -1:0 -1:1 -1:2 0:-1 0:0 0:1 0:2 1:-1 1:0 1:1 1:2
W5O/WI-009,12910,-25734,-3:2 -3:3 -2:1 -2:2 -1:0 -1:1 0:0 0:1 1:0 1:1 2:1
W5O/WI-010,12875,-25683,-4:3 -2:0 -2:4 -1:0 0:-1 0:0 0:1 1:1
W5O/WI-011,12873,-25689,-3:0 0:-1 0:0 0:1 1:-2 1:-1 1:0 1:1 2:-3 2:-2 2:-1 2:0 2:1 3:0 3:1 4:-2
W5O/WI-013,12878,-25720,-4:0 -4:1 -1:0 -1:1 -1:2 0:-1 0:0 0:1 1:-3 1:0 1:4 2:-3 3:2
W5O/WI-014,12866,-25690,-1:-3 0:-4 0:-3 0:0 1:-3 1:-1 1:0 1:1 2:-3 2:-2 2:-1 4:-1 4:0
W5O/WI-015,12872,-25695,-3:0 -2:3 -1:3 -1:4 0:-1 0:0 0:1 0:2 0:3 1:-1 1:0 1:1 1:4 2:2 2:3 3:2 4:0 4:1 4:2 4:3 5:-1 5:0 5:1
W5O/WI-033,12883,-25702,-5:0 -4:-1 -4:2 -3:-3 -3:-2 -3:-1 -3:0 -2:-4 -2:-3 -2:-2 -2:-1 -2:0 -2:1 -2:2 -1:-4 -1:-3 -1:-2 -1:-1 -1:0 -1:1 -1:2 0:-4 0:-3 0:-2 0:-1 0:0 0:1 0:2 0:3 1:-4 1:-3 1:-2 1:-1 1:0 1:1 1:2 1:3 2:-4 2:-3 2:-2 3:-3 3:-2 3:-1 4:-2 4:-1 4:0 4:1
W5T/CH-001,11093,-27208,-1:-1 -1:0 -1:1 0:-1 0:0
W5T/CH-002,11091,-27222,-3:0 -2:0 -1:0 0:0 1:0
W5T/CH-006,11053,-27197,0:0
W5T/CH-010,11094,-27189,0:0
W5T/CI-001,10831,-26903,0:0
W5T/CI-002,10842,-26891,-1:0 0:0
W5T/CI-003,10839,-26898,-4:-1 0:-1 0:0
W5T/CI-004,10836,-26888,-1:0 0:0
W5T/CI-005,10837,-26891,0:0 2:-2 2:0 3:-2 3:0 4:-2 4:-1
W5T/CI-008,10845,-26907,0:0 0:1 1:1
W5T/CI-009,10847,-26880,-3:0 0:0
W5T/CI-010,10851,-26886,-4:2 0:0
W5T/CI-012,10810,-26904,0:0 1:0
W5T/DE-001,11378,-27079,0:0 1:-1 1:0
W5T/DE-002,11370,-27086,0:0
W5T/DE-003,11359,-27090,0:0 0:1 1:0 1:1 3:2 4:2
W5T/DE-006,11376,-27095,-4:-1 -3:-1 -2:-1 -2:0 -1:0 -1:1 0:-1 0:0 0:1 0:2 1:0 1:1 1:2 1:3 2:0 2:2
W5T/DE-007,11399,-27116,-4:-2 -1:0 0:-3 0:0 0:1 2:-2 3:-2
W5T/DE-009,11407,-27084,-4:0 -4:1 -3:-1 -3:0 -3:1 -2:-1 -2:0 -2:1 -2:2 -1:-1 -1:0 -1:1 -1:2 -1:3 0:0 0:1 0:2 0:3 1:0 1:2 2:2
W5T/DE-010,11420,-27068,0:-3 0:-2 0:0 1:-4 1:-3 1:-2 1:-1
W5T/DE-011,11399,-27030,-1:-1 -1:0 -1:1 0:-1 0:0 0:1
W5T/DE-012,11491,-27103,-1:0 0:0
W5T/DE-015,11417,-27112,-2:-3 -2:-2 -2:0 -1:-3 -1:0 0:0 0:3 1:2 2:1 2:2 2:3
W5T/DE-016,11349,-27064,0:0
W5T/DE-018,11374,-27017,-3:-2 -2:-2 -1:-2 -1:-1 0:-1 0:0 1:0 1:1 2:0 2:1
W5T/DE-019,11443,-27093,-2:-3 0:0 2:1
W5T/DE-020,11341,-27083,-1:0 0:0 0:1 1:1
W5T/DE-029,11380,-27094,-2:2 -1:-1 -1:0 -1:2 0:-1 0:0 1:0 2:0 4:1
W5T/DN-001,11176,-26996,0:0
W5T/DN-002,11200,-26958,-4:1 -3:1 -1:0 0:0
W5T/DN-003,11150,-27011,-4:-2 -3:-2 -2:-1 -1:-1 -1:0 0:0 1:0
W5T/DN-004,11154,-26995,-3:0 -3:1 -2:0 -2:1 -2:2 -1:0 -1:1 -1:2 0:0 0:1 0:2 1:0
W5T/DN-005,11200,-26994,0:0
W5T/DN-006,11217,-27011,0:0
W5T/DN-007,11232,-26957,-1:0 0:0 1:0 2:0
W5T/DN-009,11231,-27011,-1:0 0:0
W5T/DN-010,11224,-27025,0:-1 0:0
W5T/DW-001,11346,-27129,-1:-1 0:0 1:0
W5T/DW-002,11345,-27138,0:0 1:0 3:3
W5T/DW-003,11353,-27114,-1:-1 0:0 0:1 0:2
W5T/DW-004,11364,-27143,0:0
W5T/DW-005,11357,-27132,-4:1 -3:0 -2:0 -1:0 0:0 1:0
W5T/DW-006,11320,-27090,-1:0 0:0 0:1
W5T/DW-007,11361,-27149,-1:0 0:-1 0:0
W5T/DW-008,11369,-27128,-3:1 -2:1 -1:1 0:0
W5T/DW-010,11381,-27147,-1:-1 -1:0 0:0
W5T/DW-012,11371,-27170,0:0
W5T/DW-013,11341,-27094,0:-1 0:0
W5T/DW-015,11388,-27162,-1:0 -1:1 -1:2 -1:3 0:0
W5T/DW-019,11301,-27127,-3:0 -3:1 -2:-1 -2:0 -1:0 0:-1 0:0 1:-1
W5T/DW-020,11320,-27144,0:0 1:3
W5T/DW-021,11324,-27147,0:0 0:1 1:0 1:1 2:1 3:1
W5T/DW-024,11411,-27134,-1:0 0:0 0:1
W5T/DW-027,11359,-27172,0:0 2:3 3:3
W5T/DW-030,11379,-27138,-1:0 0:0 0:1 2:4
W5T/DW-031,11365,-27166,-2:-1 -1:-1 -1:0 0:-1 0:0 1:3 2:2 3:1 3:2 4:1
W5T/EA-001,11452,-27366,-1:-2 -1:-1 0:-3 0:-2 0:0
W5T/FR-001,11815,-27733,0:0
W5T/FR-002,11836,-27735,0:0
W5T/FR-003,11801,-27733,0:0
W5T/FR-004,11831,-27597,-2:1 0:0
W5T/FR-005,11788,-27733,0:0 1:0 3:-1
W5T/FR-006,11825,-27584,0:0 0:1 1:-2 1:-1 1:0 1:1 2:-2 2:-1 3:-2
W5T/GL-001,11246,-26902,-1:-1 0:-1 0:0 1:-2 1:-1 1:0 2:-2
W5T/GU-001,11811,-27308,0:0
W5T/GU-002,11825,-27313,-1:0 -1:1 -1:2 0:0 1:0 1:1 1:4 5:0
W5T/GU-003,11817,-27312,0:0 0:1
W5T/GU-004,11819,-27300,0:0 1:-1 1:0 2:-1 2:0 4:2
W5T/GU-005,11850,-27487,-1:0 0:-1 0:0
W5T/GU-006,11850,-27477,0:0 1:0 2:0 2:1
W5T/PU-001,11266,-27039,-1:0 -1:1 0:-1 0:0 1:-1
W5T/PU-002,11261,-27043,-1:-2 -1:-1 0:-1 0:0
W5T/PU-003,11278,-27066,-1:1 -1:3 0:0
W5T/PU-004,11282,-27028,0:0
W5T/PU-005,11245,-27038,-4:-3 -2:-4 -1:-1 -1:0 0:0 0:1 1:2 2:-3 2:2 3:2
W5T/PU-007,11276,-27036,0:0
W5T/PU-008,11263,-27024,0:0
W5T/QU-001,11574,-27458,0:0 0:1 1:0
W5T/QU-002,11536,-27474,-2:0 0:0
W5T/QU-005,11586,-27458,0:-1 0:0 1:-1
W5T/SD-001,11647,-27319,-3:-3 -3:-2 -3:-1 -2:-3 -2:-2 -2:-1 -1:-4 -1:-3 -1:-2 -1:-1 0:-4 0:-2 0:-1 0:0 1:-3 1:-2 1:-1 2:-3 2:-1 2:0 3:-1 3:0 4:-2 4:-1
W5T/SD-002,11554,-27322,-1:1 0:-1 0:0 1:-1 1:0 2:-2 3:-2 3:-1 4:-1
W5T/SD-007,11565,-27340,-3:3 0:0 0:4 1:3 1:4 2:3 2:4 3:3 4:3
W5T/SD-008,11532,-27310,-4:-2 -4:0 -4:1 -4:2 -3:-1 -3:0 -3:1 -2:-1 -2:0 -2:1 -2:2 -2:3 -1:-2 -1:-1 -1:0 -1:1 -1:2 0:0 0:1 1:-4 1:0 1:1 2:0 2:1 3:0 3:2 4:2
W5T/SN-001,11050,-26932,-1:0 0:-1 0:0
W5T/SN-002,11118,-26961,-5:0 -4:-1 -4:0 -4:1 -3:-2 -3:-1 -3:0 -3:1 -2:-2 -2:-1 -2:0 -2:1 -1:-3 -1:-2 -1:-1 -1:0 -1:1 0:-3 0:-2 0:-1 0:0 1:-3 1:-2 1:-1 1:0 2:-3 2:-2 2:-1 2:0 2:1 3:-3 3:-2 3:-1 3:0 4:-2 4:-1 4:0 4:1
W5T/SV-001,11142,-27218,0:0 0:1 1:0 1:2 4:0
W5T/SV-002,11278,-27261,-3:2 -3:3 -2:2 -2:3 -2:4 -1:2 -1:3 -1:4 0:0 0:1 0:2 0:3 1:1 1:2 1:3 2:1 2:2 3:1 4:0 4:1 5:0
W5T/SV-003,11173,-27225,-3:1 -3:2 -2:1 -1:1 -1:2 0:0 0:1 0:2 1:1 1:2 2:2 3:2 4:1 5:1
W5T/SV-004,11214,-27227,0:0 0:1 1:0 1:1 2:0 2:1 3:1 4:1
W5T/SV-006,11177,-27203,-4:1 -3:1 -3:2 -3:3 -2:0 -2:1 -2:2 -2:3 -1:0 -1:1 -1:2 -1:3 0:0 0:1 0:2 0:3 0:4 1:0 1:1 1:2 1:3 2:1 2:2 2:3 3:0 3:1 3:2 3:3 4:1 4:2
W6/CC-001,15303,-31896,0:0 0:1 0:2 1:2
W6/CC-002,12893,-31028,-1:-1 -1:0 -1:1 -1:2 -1:3 0:-4 0:-1 0:0 0:1 0:2 0:3 1:-1 1:1 1:2 1:3 1:4 2:3
W6/CC-003,12879,-30982,-3:-3 -2:-3 -2:-2 -2:-1 -2:0 -1:-3 -1:-2 -1:-1 -1:0 -1:1 0:-2 0:-1 0:0 0:1 1:-2 1:-1 1:0 1:1 1:2 2:-2 2:-1 2:0 2:2 3:2
W6/CC-004,14887,-32025,-3:1 -2:0 -1:0 0:0 0:1 1:1
W6/CC-005,12826,-31063,-1:-1 0:-1 0:0 1:-2 1:-1
W6/CD-001,13938,-30796,0:0 1:0
W6/CD-002,13711,-30732,-2:-1 -2:0 -1:0 0:-1 0:0 0:1 1:-1 1:0
W6/CD-003,13396,-30492,-1:0 0:0 1:-1
W6/CD-004,13723,-30734,-2:0 -2:1 -1:0 0:0
W6/CD-005,13695,-30761,-3:-1 -3:2 -3:3 -2:-1 -2:0 -2:1 -2:2 -1:-2 -1:-1 -1:0 -1:1 -1:2 -1:3 0:-1 0:0 0:1
W6/CD-006,13157,-30102,0:0 0:1 1:2 2:3
W6/CD-007,13495,-30662,-4:-1 -4:1 -3:-1 -3:0 -3:1 -2:-1 -2:0 -2:1 -1:-1 -1:0 0:-1 0:0 1:-1 1:0 2:-1 2:0 3:-1 3:0 3:1 4:-1 4:0 5:-1
W6/CN-001,15336,-31822,0:0 1:0
W6/CN-002,14995,-31642,-1:-1 0:-1 0:0 1:-1
W6/CN-003,14979,-31657,0:0 1:-1
W6/CN-004,15073,-31672,-4:1 -3:-1 -3:0 -3:3 -2:-1 -1:0 0:0
W6/CN-005,14812,-31414,-3:1 -2:1 -1:0 -1:1 0:0 0:1 1:0
W6/CN-006,14792,-31325,-4:1 -3:1 -2:1 -1:1 0:0
W6/CN-007,14974,-31589,0:-1 0:0 1:-1
W6/CN-008,15069,-31406,-2:0 -1:0 0:-1 0:0 1:-1 1:0 2:-1 2:0 3:-1
W6/CN-009,15113,-31674,0:-1 0:0
W6/CT-001,12629,-30425,0:0 1:-1 1:0
W6/CT-002,12523,-30386,-3:0 -2:0 0:0
W6/CT-003,12699,-30638,-1:-2 0:0 0:1
W6/CT-004,12725,-30668,0:-1 0:0
W6/CT-005,12722,-30677,-1:-1 0:0
W6/CT-006,12675,-30622,-1:0 0:0
W6/CT-007,12501,-30385,0:0 1:1 3:1
W6/CT-008,12416,-30320,-1:1 0:-1 0:0
W6/CT-009,12687,-30471,0:-2 0:-1 0:0 0:1
W6/CT-010,12720,-30688,0:0 1:0
W6/CT-011,12730,-30693,-1:0 0:0
W6/CT-012,12717,-30713,-1:0 0:-2 0:-1 0:0 0:1 0:2 1:-2 1:-1 1:0 1:1 2:0 3:0 3:1
W6/CT-013,12665,-30482,-1:0 0:-1 0:0 1:0 2:3 3:3
W6/CT-014,12721,-30704,-1:0 0:0 0:1
W6/CT-038,12638,-30442,0:0 1:-1 1:0 1:1 1:4 2:2
W6/CT-039,12666,-30421,-1:0 -1:1 -1:2 0:0 0:4
W6/CT-040,12708,-30637,-4:2 -3:1 -3:2 0:0 1:0
W6/CT-043,12614,-30439,0:0 1:-2 1:0 2:-3
W6/CT-044,12663,-30393,-1:0 0:-1 0:0 1:-2 1:-1 1:0 3:-2
W6/CT-046,12689,-30625,-2:-1 0:0
W6/CT-048,12676,-30632,-1:-1 0:0 1:0 1:1 1:2 1:3
W6/CT-050,12700,-30455,-1:0 0:0
W6/CT-051,12710,-30441,-1:0 -1:1 0:0 0:1 1:-1 1:0 1:1 1:2 2:-1 2:0 2:1 3:0
W6/CT-052,12683,-30624,-5:0 -4:-1 -4:0 -1:0 0:0 0:1 3:-2 3:-1 4:-1
W6/CT-053,12699,-30427,-1:-1 -1:0 0:-2 0:-1 0:0 1:-2 1:-1 2:-2 4:-2
W6/CT-054,12697,-30443,-1:1 -1:2 -1:3 -1:4 0:0 0:1
W6/CT-055,12646,-30378,-1:0 0:0 1:-4 1:0
W6/CT-056,12699,-30655,0:0
W6/CT-057,12975,-30856,-1:0 0:-1 0:0
W6/CT-058,12737,-30706,-3:2 -2:1 -1:0 0:-1 0:0
W6/CT-059,12980,-30856,0:0 0:1 1:0 2:0
W6/CT-061,12606,-30421,-1:-4 0:0 0:1 1:-1
W6/CT-062,12968,-30853,-2:-2 -2:-1 -1:-3 -1:-2 -1:-1 -1:0 0:-2 0:-1 0:0 0:1
W6/CT-063,12978,-30878,-1:-1 -1:0 0:-1 0:0 1:-1 1:0
W6/CT-064,12709,-30711,0:-2 0:0 0:1
W6/CT-065,12685,-30389,-1:-1 0:0 1:-1
W6/CT-066,12702,-30398,-1:-2 -1:-1 0:-3 0:-2 0:-1 0:0 1:-4 1:-3 1:-2 1:-1 1:0 2:-4
W6/CT-067,12734,-30648,-5:0 -4:-2 -4:-1 -3:-3 -2:4 -1:0 -1:1 -1:2 -1:3 0:0 0:1 0:2 1:-1 1:0 1:1 2:-1
W6/CT-245,12629,-30424,-1:0 0:0 0:1
W6/CT-246,12730,-30679,-5:-1 -5:0 -4:0 -3:0 -1:0 0:0
W6/CT-247,12731,-30694,-1:0 0:-1 0:0 1:-1 2:-2
W6/CT-248,12492,-30376,0:0 0:1
W6/CT-249,12488,-30372,-1:0 0:0 0:1
W6/IN-001,13595,-30720,-1:1 0:0
W6/IN-002,13605,-30726,-1:1 0:0 0:1 1:-1
W6/IN-004,13573,-30712,-1:0 -1:1 0:-1 0:0 1:-1
W6/IN-007,13544,-30681,-1:0 0:0
W6/IN-008,13732,-30751,-1:0 0:-1 0:0
W6/IN-010,13532,-30674,-3:-1 -2:-1 -1:0 0:0
W6/IN-012,13773,-30740,0:-1 0:0 1:0 1:1 3:-2
W6/IN-015,13791,-30773,-1:0 -1:2 -1:3 0:-1 0:0 0:1 0:4 1:-1 1:1 2:1 2:4
W6/IN-020,13808,-30728,0:-1 0:0 1:0
W6/IN-022,13755,-30893,-1:-1 -1:0 0:0
W6/IN-023,13811,-30905,-4:-2 -4:-1 0:0 2:4
W6/IN-024,13537,-30793,-5:-1 -4:2 -3:-2 -2:-3 -2:-2 -1:-4 0:-4 0:0 0:1 1:-4
W6/IN-025,13756,-30860,0:0 0:1 0:2 1:-3 1:1 1:2
W6/IN-028,13807,-30900,-4:-3 -4:-2 -3:-2 -2:-4 -2:-3 -2:-2 -1:-4 0:0 2:-4 4:-2
W6/IN-029,13755,-30877,-4:-2 -4:-1 -1:0 0:-4 0:0 1:0
W6/ND-001,14235,-31070,-3:0 -2:-1 -2:0 -1:0 0:0 0:1 1:0 1:2 1:3 3:-2
W6/ND-002,14252,-31068,0:0 1:1
W6/ND-003,13987,-30913,0:-1 0:0 2:-2 2:-1 2:0 3:-2 3:-1
W6/ND-004,14262,-31067,0:0
W6/ND-005,14160,-31013,-2:4 -1:0 0:0 0:1 1:0
W6/ND-007,13369,-30489,-2:-2 -1:-1 0:-1 0:0
W6/ND-009,14201,-31023,-2:-1 -1:-4 -1:-2 -1:-1 -1:0 0:-4 0:-3 0:-2 0:-1 0:0 1:-4 1:-1
W6/ND-011,14028,-30991,0:0
W6/ND-012,13994,-30964,-4:2 -3:2 -2:1 -2:2 -1:-1 -1:0 -1:1 0:-1 0:0 0:1 1:0
W6/ND-013,13351,-30484,-1:-1 0:0 0:1 1:0
W6/ND-014,13435,-30490,-1:0 -1:1 0:0 1:0
W6/ND-016,14130,-31013,-4:1 -3:1 -2:0 -2:1 -1:0 -1:1 0:-1 0:0
W6/ND-017,13661,-30588,-4:2 -1:0 -1:1 0:-1 0:0
