ref_code,base_y,base_x,offsets
W0C/RG-011,13998,-27977,0:-1 0:0
W0C/RG-012,14113,-27982,0:-1 0:0 1:-1 2:0 3:1
W0C/RG-013,14118,-27984,0:0 1:0
W0C/RG-014,14029,-27984,-2:0 -1:0 0:0 1:0
W0C/RG-015,14005,-27981,0:0 1:0 2:0
W0C/RG-016,14021,-27970,-1:2 0:-4 0:0 0:1
W0C/RG-017,14103,-28004,0:0
W0C/RG-018,14106,-28004,0:0
W0C/RG-019,14098,-27994,-3:-4 0:0
W0C/RG-020,14013,-27968,0:0 1:-3
W0C/RG-021,14064,-27985,0:0
W0C/RG-022,14048,-27994,0:0
W0C/RG-023,14059,-27994,-2:-2 -1:-1 0:0
W0C/RG-024,14043,-28004,-4:1 0:0 1:-1 2:-1 3:-1 3:0
W0C/RG-025,14061,-27883,0:0 4:-1
W0C/RG-026,13967,-27984,-2:-1 0:0
W0C/RG-027,14057,-27892,-2:2 -1:0 0:0 1:-3 1:-2
W0C/RG-028,13963,-27990,0:-1 0:0
W0C/RG-029,14110,-27994,-3:-1 0:-1 0:0 0:1 5:0
W0C/RG-030,14022,-27955,-5:-1 -4:-1 -3:-1 -3:0 -3:1 -2:-1 -2:0 -2:1 -1:-1 -1:0 -1:1 0:0 0:1 1:0 4:2
W0C/RG-031,14072,-27998,0:0 0:1 1:0
W0C/RG-032,14056,-27850,-3:1 -2:-1 -2:0 -2:1 -1:-2 -1:-1 0:-1 0:0 2:-3
W0C/RG-033,13958,-27963,-3:-3 0:0 3:2
W0C/RG-034,14067,-28018,-4:0 0:0
W0C/RG-035,14089,-27988,0:0 3:-3 3:-2
W0C/RG-036,13929,-27985,0:-2 0:0
W0C/RG-037,14088,-28002,0:-1 0:0 3:1 4:1
W0C/RG-038,14072,-27968,-2:-2 -1:-1 0:-1 0:0
W0C/RG-039,13810,-27753,0:-1 0:0 0:1 3:-1
W0C/RG-040,13916,-27860,-1:0 0:0 1:0
W0C/RG-041,14062,-27862,-3:-2 -3:-1 -3:1 -2:0 0:0 1:0 2:-1 4:-2
W0C/RG-042,14100,-27975,0:0 0:1 1:1 1:2 1:3 2:3
W0C/RG-043,14100,-27966,0:-1 0:0 1:-4 1:-2 1:-1 1:0
W0C/RG-044,14054,-27867,-2:-1 -1:-2 -1:-1 0:-2 0:-1 0:0
W0C/RG-045,14120,-27973,-3:-1 -2:-1 -1:-1 -1:0 0:0 1:1
W0C/RG-046,13939,-27920,-1:1 0:0 2:-1 3:-1
W0C/RG-047,13928,-27929,-3:2 0:-1 0:0
W0C/RG-048,13926,-27969,-1:0 0:0 1:0
W0C/RG-051,13944,-27975,0:0 1:-1 3:-1
W0C/RG-053,14036,-27878,-5:-1 -4:-2 -4:-1 -3:-3 -3:-2 -2:-3 -2:-2 -1:-3 -1:-2 -1:-1 0:-3 0:-2 0:-1 0:0 0:1 1:-3 1:-2 2:-3 2:-2
W0C/RG-054,13947,-27849,-3:-1 -1:0 0:0 0:1 1:0 3:-1 4:-1
W0C/RG-056,13887,-27709,-1:1 0:-1 0:0 0:1 1:-1 1:0
W0C/RG-057,13905,-27831,-2:1 -1:0 -1:1 0:0
W0C/RG-058,14066,-27952,-2:-2 -1:0 0:0
W0C/RG-059,14086,-27929,-5:1 -4:0 -4:1 -4:2 -3:1 -3:2 -2:1 -2:2 -1:0 -1:1 -1:2 0:0 0:1 0:2 1:0 1:1 2:0 2:1
W0C/RG-062,13932,-27846,-1:-2 -1:-1 -1:0 -1:1 0:0 0:2
W0C/RG-063,13870,-27762,0:-1 0:0
W0C/RG-064,14122,-28005,-5:0 -4:0 0:0
W0C/RG-066,13975,-27990,-1:0 0:0 1:0
W0C/RG-067,13997,-27879,0:-1 0:0 1:-2 1:-1 1:0 2:-2 2:-1 2:0 3:1
W0C/RG-069,13817,-27775,-1:0 0:-1 0:0 2:2
W0C/RG-071,14120,-27919,-4:1 -4:2 -3:1 -3:2 -3:3 -2:0 -2:1 -2:2 -2:3 -1:0 -1:1 -1:2 -1:3 -1:4 0:-1 0:0 0:1 0:2 0:3 0:4 1:-1 1:0 1:1 1:2 2:-1 2:0 2:1 3:0 3:1 3:2 4:0 4:1 4:2 4:3 5:1
W0C/RG-072,13868,-27882,0:0
W0C/RG-074,13898,-27889,-1:0 0:0
W0C/RG-076,13855,-27760,-1:0 0:0 0:1 1:-1 3:-3 3:-2 3:-1 4:-1
W0C/RG-079,13887,-27963,0:0 1:0 3:0 4:1
W0C/RG-166,14056,-27886,-1:-3 -1:1 0:0 0:1 1:1 2:4 3:3 3:4 4:3 5:2
W0C/SC-001,14065,-27489,0:0
W0C/SC-002,14069,-27847,-1:0 0:0 1:0
W0C/SC-003,14076,-27502,0:0
W0C/SC-004,14112,-27516,0:0
W0C/SC-005,14046,-27485,-3:3 0:0
W0C/SC-006,14155,-27541,-1:0 0:0
W0C/SC-007,14103,-27511,-2:1 0:0
W0C/SC-008,14094,-27508,0:0 1:0
W0C/SC-010,14200,-27576,-1:1 0:0 0:1
W0C/SC-013,13931,-27474,-1:0 0:-1 0:0
W0C/SC-014,14072,-27490,0:0 1:1
W0C/SC-015,13842,-27343,0:0
W0C/SC-016,14141,-27529,0:0
W0C/SC-017,14058,-27492,-1:1 0:0 2:-3 2:-2 3:-3
W0C/SC-018,14083,-27501,-1:1 0:0 2:-2
W0C/SC-019,14134,-27518,0:0 0:1
W0C/SC-020,14117,-27515,0:0 3:3
W0C/SC-021,14088,-27497,0:0
W0C/SC-022,14148,-27534,0:-1 0:0 0:1 3:-2
W0C/SC-023,14135,-27523,0:-2 0:-1 0:0
W0C/SC-024,14057,-27483,0:-2 0:-1 0:0
W0C/SC-025,14159,-27532,-1:0 0:0
W0C/SC-026,14215,-27591,0:0
W0C/SC-027,14204,-27579,0:0 1:-2 2:2 3:3
W0C/SC-028,14210,-27584,0:-1 0:0
W0C/SC-029,13849,-27323,0:0
W0C/SC-124,14089,-27504,-3:1 0:0 4:-1
W0C/SJ-001,14041,-27996,0:0
W0C/SJ-002,13999,-28081,-1:2 0:0 2:1
W0C/SJ-003,14023,-27987,-2:1 0:0 0:1
W0C/SJ-004,13957,-28016,0:0
W0C/SJ-005,13992,-28090,0:0
W0C/SJ-006,14069,-28072,0:0
W0C/SJ-007,14035,-28070,-4:-1 0:0
W0C/SJ-008,13868,-28149,-2:3 0:0
W0C/SJ-009,13882,-27718,-1:1 0:0 1:-1 1:0 2:0
W0C/SJ-010,13965,-28044,-3:-2 0:-1 0:0
W0C/SJ-011,13962,-28075,0:0
