# lat,lon,effective_radius_m -- worldwide city anchors for
# score_points()'s in-city test (docs/features/places.md). US rows are
# the untouched original app/reference/places.csv (US Census 2024
# Gazetteer places, radius = sqrt(ALAND/pi)). Non-US rows are derived
# from GeoNames cities500 (download.geonames.org), radius estimated from
# population (GeoNames carries no land-area figure) at an assumed
# 1500 people/km^2, clamped to [300m, 25000m] -- see
# scripts/build_global_anchors.py for the derivation and the
# Boise/SLC/Denver sanity check against the real US Census circles.
26.5509,-99.1339,257
26.5511,-99.1169,401
26.5604,-99.1225,232
26.5611,-99.1258,106
26.5633,-98.1289,6328
26.5643,-99.1078,603
26.5651,-99.1342,828
26.5694,-97.4424,2018
26.6065,-99.1613,342
26.6383,-99.0947,402
26.6692,-98.5579,761
26.6852,-98.4231,1603
26.7118,-99.101,821
26.7136,-98.4479,1599
26.7876,-99.1147,1076
26.8503,-99.2558,778
26.8706,-99.2917,1119
26.8719,-99.2574,744
26.8826,-98.8949,415
26.9022,-99.2614,2510
26.9351,-99.2644,1209
26.9363,-98.1153,2352
26.9516,-99.276,237
27.0129,-99.3775,1096
27.0532,-99.4237,1120
27.202,-98.1557,498
27.219,-98.0981,1320
27.22,-98.0645,907
27.2229,-97.7956,970
27.2244,-98.1452,1536
27.26,-98.7847,1790
27.2697,-98.724,1661
27.2995,-97.7981,1744
27.325,-98.6857,2311
27.3317,-99.5013,652
27.3378,-98.6629,1805
27.3585,-98.1244,1182
27.3647,-99.4845,732
27.3951,-98.3556,256
27.3995,-99.4325,641
27.4186,-97.8476,1918
27.4282,-98.8322,1041
27.4401,-99.0006,512
27.4454,-98.5302,468
27.4516,-99.0932,497
27.4693,-98.9672,1081
27.487,-99.3882,238
27.4896,-99.3686,242
27.4898,-99.3797,627
27.49,-99.3729,331
27.49,-99.3701,244
27.4905,-99.3858,177
27.4907,-99.3667,224
27.4914,-99.3598,674
27.4939,-99.3099,693
27.4991,-99.3035,1002
27.5092,-97.861,3383
27.5604,-99.4892,9484
27.5853,-97.7974,1410
27.5969,-98.4138,1208
27.6123,-99.213,394
27.6144,-99.2105,412
27.6169,-99.208,386
27.6195,-99.2056,350
27.6315,-99.1987,442
27.6334,-99.2186,570
27.6346,-99.2365,1731
27.6412,-99.5575,171
27.6449,-99.2143,1557
27.6555,-99.6179,936
27.6659,-98.0966,3177
27.6712,-97.6322,1226
27.673,-97.751,979
27.6745,-99.6035,1306
27.6748,-99.1896,312
27.6762,-99.1777,442
27.6797,-99.201,404
27.6815,-99.1832,829
27.7037,-97.5718,1970
27.7119,-98.108,2205
27.7132,-98.1346,2056
27.7195,-97.7392,2633
27.7393,-98.1027,1026
27.7543,-97.1734,11714
27.7556,-98.0658,3144
27.7609,-98.2389,1252
27.7615,-97.7419,909
27.7616,-97.7174,1284
27.7663,-98.1942,2059
27.7711,-99.4433,362
27.7719,-99.4571,1252
27.7827,-97.9099,530
27.794,-97.6692,3272
27.7942,-99.4566,118
27.7948,-99.4695,958
27.7964,-99.4548,653
27.8,-97.7961,1391
27.8027,-97.682,283
27.8094,-97.8455,1537
27.8209,-97.0892,2719
27.8298,-97.2213,491
27.8706,-97.2079,3732
27.8741,-97.9799,1010
27.8822,-98.6174,1844
27.889,-97.3316,3162
27.8927,-98.0934,782
27.8929,-98.1089,1049
27.8988,-97.9678,956
27.9032,-99.5105,3522
27.907,-99.4758,610
27.915,-97.1032,3298
27.9232,-97.2909,1121
27.928,-97.1713,255
27.9282,-97.8015,2546
27.9462,-97.5875,1025
27.9562,-97.9386,945
27.9609,-97.6754,1350
27.9657,-97.9937,1822
27.9712,-97.4054,653
27.98,-97.3928,1173
27.9843,-97.7702,1781
27.9928,-97.9267,1666
27.995,-97.2602,945
28.0055,-97.5536,1659
28.007,-97.4994,1016
28.0132,-97.5202,841
28.017,-97.5009,760
28.0212,-97.8676,892
28.0242,-97.4966,648
28.0372,-97.5015,2053
28.0405,-99.3545,597
28.0476,-97.05,3693
28.0724,-97.0389,1077
28.0831,-97.8826,775
28.0909,-97.817,1653
28.091,-97.5632,1654
28.0951,-97.8592,269
28.096,-97.2109,915
28.0969,-97.865,204
28.1031,-97.8611,561
28.127,-97.8698,1297
28.1403,-96.9878,1589
28.1671,-97.008,1153
28.1708,-97.7492,1689
28.2378,-97.3254,790
28.2684,-97.6853,2949
28.3074,-97.275,1139
28.33,-98.1183,1264
28.3502,-99.6153,1761
28.3855,-97.7921,1550
28.3911,-96.8437,547
28.4052,-97.7489,2293
28.4132,-96.7167,1027
28.4364,-99.2367,1287
28.446,-96.4201,1813
28.4461,-99.7603,820
28.4528,-98.8096,1338
28.4599,-98.5487,536
28.4608,-96.8915,960
28.4669,-98.1779,1098
28.505,-99.8311,629
28.5089,-100.3072,1201
28.5258,-99.8593,1596
28.5277,-97.783,1053
28.5605,-96.5496,917
28.5699,-99.5702,676
28.5723,-96.5642,790
28.574,-99.6701,710
28.5767,-97.798,1921
28.6156,-97.8121,2191
28.618,-96.6283,2893
28.6255,-100.4278,2545
28.6423,-97.8181,490
28.6483,-98.0083,2080
28.6504,-96.9022,1478
28.6572,-100.4246,1652
28.6595,-99.8043,661
28.6675,-99.1765,1386
28.6684,-96.557,1041
28.6711,-97.3926,1136
28.6717,-100.4827,2409
28.6902,-100.4683,658
28.6907,-99.8271,1739
28.6919,-96.8259,679
28.6938,-99.1761,1017
28.6965,-95.9666,1233
28.7128,-100.4848,2791
28.7131,-96.2279,2121
28.7139,-99.8358,435
28.7221,-99.8327,237
28.742,-100.4926,507
28.7505,-100.5015,684
28.7563,-100.4918,580
28.7773,-97.0848,1593
28.7774,-100.4934,1527
28.7862,-98.4977,1191
28.7975,-95.6418,2478
28.8088,-97.8537,1907
28.8208,-96.6096,1253
28.8285,-96.986,5536
28.8299,-95.9145,2481
28.8325,-96.5388,1455
28.8464,-96.4649,818
28.8557,-100.5355,956
28.8593,-98.7006,1297
28.8749,-96.2168,1294
28.8763,-96.7909,7009
28.8854,-97.9005,1383
28.8863,-97.7131,985
28.8929,-99.0972,2323
28.9099,-100.598,460
28.914,-98.5408,1732
28.9151,-95.332,750
28.9216,-99.0949,1084
28.9238,-97.6141,640
28.9403,-96.2134,617
28.9433,-95.3561,3563
28.9471,-100.6237,307
28.9491,-99.8479,1483
28.9524,-99.6293,2208
28.9531,-95.2838,1145
28.9625,-96.064,1362
28.9642,-98.4957,2721
28.975,-95.4685,1443
28.9751,-96.6485,1846
28.9817,-98.0216,858
28.9828,-97.505,1193
28.9835,-95.9599,2764
28.9981,-95.3293,1250
29.0259,-95.3982,2094
29.0281,-95.8846,2451
29.0373,-98.5728,1195
29.0417,-96.511,980
29.0447,-95.5647,1477
29.0464,-95.6985,1280
29.0509,-95.4512,4034
29.0579,-99.0058,2243
29.0623,-98.8534,4440
29.0639,-95.4022,1919
29.0683,-98.4722,1995
29.0721,-98.0806,1616
29.081,-95.6373,2872
29.1027,-97.2871,2326
29.1131,-96.4124,2347
29.141,-95.6051,719
29.1419,-95.6495,1466
29.1458,-98.905,1628
29.1467,-98.1652,2518
29.1471,-99.1426,2032
29.1478,-95.4998,2400
29.1687,-99.8361,2209
29.1718,-95.4293,3110
29.1731,-100.4113,445
29.1817,-98.4092,1402
29.1855,-98.8521,1071
29.1863,-94.9658,5816
29.1904,-94.9793,692
29.2007,-96.2723,2757
29.2072,-95.5153,852
29.2152,-99.7772,2517
29.2274,-95.3462,894
29.2286,-98.6569,1283
29.2346,-98.7937,1982
29.236,-97.9639,1180
29.2531,-95.9447,1961
29.2533,-98.323,2250
29.2697,-97.7659,1135
29.2712,-95.9618,1251
29.2713,-97.6376,655
29.2774,-98.6574,1248
