ref_type,ref_code,name,lat,lon,points,source,area_m2,geom
summit,W0C/SJ-027,Mount Eolus,37.621900,-107.622600,100,SOTA,,
summit,W0C/SJ-028,Windom Peak,37.621200,-107.591900,100,SOTA,,
summit,W0C/SJ-029,Pigeon Peak,37.632300,-107.646200,100,SOTA,,
summit,W0C/SJ-030,Vestal Peak,37.689300,-107.602800,100,SOTA,,
summit,W0C/SJ-031,Turret Peak,37.627400,-107.639900,100,SOTA,,
summit,W0C/SJ-032,Jagged Mountain,37.645600,-107.584000,100,SOTA,,
summit,W0C/SJ-033,Arrow Peak,37.692800,-107.610200,100,SOTA,,
summit,W0C/SJ-034,Animas Mountain,37.643100,-107.629100,100,SOTA,,
summit,W0C/SJ-035,Ulysses S. Grant Peak,37.824700,-107.806700,100,SOTA,,
summit,W0C/SJ-036,Storm King Peak,37.676500,-107.559500,100,SOTA,,
summit,W0C/SJ-037,Animas Forks Mountain,37.943700,-107.555300,100,SOTA,,
summit,W0C/SJ-038,Peak Six,37.660300,-107.585200,100,SOTA,,
summit,W0C/SJ-039,Rolling Mountain,37.766000,-107.825900,100,SOTA,,
summit,W0C/SJ-040,Mount Oso,37.607000,-107.493700,100,SOTA,,
summit,W0C/SJ-041,Lookout Peak,37.862300,-107.780200,100,SOTA,,
summit,W0C/SJ-042,Mount Silex,37.670300,-107.548000,100,SOTA,,
summit,W0C/SJ-043,White Dome,37.704100,-107.546500,100,SOTA,,
summit,W0C/SJ-044,The Guardian,37.663500,-107.540300,100,SOTA,,
summit,W0C/SJ-045,Greylock Mountain,37.617500,-107.570100,100,SOTA,,
summit,W0C/SJ-046,Tower Mountain,37.857400,-107.623000,100,SOTA,,
summit,W0C/SJ-047,Leviathan Peak,37.652900,-107.574600,100,SOTA,,
summit,W0C/SJ-172,13795,37.908800,-107.481000,100,SOTA,,
summit,W0C/SJ-173,Wasatch Mountain,37.890100,-107.795700,100,SOTA,,
summit,W0C/SL-001,Blanca Peak,37.577500,-105.485700,100,SOTA,,
summit,W0C/SL-002,Culebra Peak,37.122200,-105.185700,100,SOTA,,
summit,W0C/SL-003,Mount Lindsey,37.583700,-105.444800,100,SOTA,,
summit,W0C/SL-004,Huerfano Peak,37.600400,-105.447700,100,SOTA,,
summit,W0C/SL-005,Vermejo Peak,37.094200,-105.191100,100,SOTA,,
summit,W0C/SL-006,Purgatoire Peak,37.072500,-105.210800,100,SOTA,,
summit,W0C/SL-007,North Twin Peaks,37.589900,-105.519000,100,SOTA,,
summit,W0C/SL-008,13565,37.140100,-105.175400,100,SOTA,,
summit,W0C/SL-009,Trinchera Peak,37.289100,-105.164800,100,SOTA,,
summit,W0C/SM-001,Mount Wilson,37.839100,-107.991500,100,SOTA,,
summit,W0C/SM-002,Wilson Peak,37.860300,-107.984700,100,SOTA,,
summit,W0C/SM-003,Gladstone Peak,37.845200,-107.984000,100,SOTA,,
summit,W0C/SM-004,Grizzly Peak,37.756200,-107.861900,100,SOTA,,
summit,W0C/SM-005,13540,37.856800,-108.001400,100,SOTA,,
summit,W0C/SP-001,La Plata Peak,39.029400,-106.472900,100,SOTA,,
summit,W0C/SP-002,Mount Oxford,38.964700,-106.338700,100,SOTA,,
summit,W0C/SP-003,Missouri Mountain,38.947600,-106.378400,100,SOTA,,
summit,W0C/SP-004,Grizzly Peak,39.042300,-106.597600,100,SOTA,,
summit,W0C/SP-005,Ice Mountain,38.914900,-106.437100,100,SOTA,,
summit,W0C/SP-006,Emerald Peak,38.929000,-106.381200,100,SOTA,,
summit,W0C/SP-007,Cronin Peak,38.655300,-106.283300,100,SOTA,,
summit,W0C/SP-008,Mount Buckskin,39.318600,-106.146700,100,SOTA,,
summit,W0C/SP-009,Rinker Peak,39.036800,-106.440100,100,SOTA,,
summit,W0C/SP-010,Magdalene Mountain,38.907100,-106.367600,100,SOTA,,
summit,W0C/SP-011,Sayres Benchmark,39.009200,-106.498100,100,SOTA,,
summit,W0C/SP-012,Grizzly Mountain,38.645700,-106.311300,100,SOTA,,
summit,W0C/SP-013,West Apostle,38.914400,-106.448100,100,SOTA,,
summit,W0C/SP-127,Emma Burr Mountain,38.733600,-106.416700,100,SOTA,,
summit,W0C/SR-001,Mount Elbert,39.117800,-106.445100,100,SOTA,,
summit,W0C/SR-002,Mount Harvard,38.924400,-106.320500,100,SOTA,,
summit,W0C/SR-003,Mount Antero,38.674100,-106.246200,100,SOTA,,
summit,W0C/SR-004,Mount Shavano,38.619200,-106.239300,100,SOTA,,
summit,W0C/SR-005,Mount Princeton,38.749400,-106.242400,100,SOTA,,
summit,W0C/SR-006,Mount Belford,38.960600,-106.360900,100,SOTA,,
summit,W0C/SR-007,Mount Yale,38.844200,-106.313800,100,SOTA,,
summit,W0C/SR-008,Mount Columbia,38.903900,-106.297400,100,SOTA,,
summit,W0C/SR-009,Mount of the Holy Cross,39.466800,-106.481700,100,SOTA,,
summit,W0C/SR-010,Huron Peak,38.945300,-106.437900,100,SOTA,,
summit,W0C/SR-011,Mount Ouray,38.422800,-106.224900,100,SOTA,,
summit,W0C/SR-012,Fletcher Mountain,39.403200,-106.128700,100,SOTA,,
summit,W0C/SR-013,French Mountain,39.128500,-106.482400,100,SOTA,,
summit,W0C/SR-014,Mount Hope,39.021100,-106.419800,100,SOTA,,
summit,W0C/SR-015,Casco Peak,39.114100,-106.493900,100,SOTA,,
summit,W0C/SR-016,Clinton Peak,39.368200,-106.148600,100,SOTA,,
summit,W0C/SR-017,Mount Edwards,39.636400,-105.793300,100,SOTA,,
summit,W0C/SR-018,Mount Aetna,38.586300,-106.320500,100,SOTA,,
summit,W0C/SR-019,Argentine Peak,39.612100,-105.777000,100,SOTA,,
summit,W0C/SR-020,Twining Peak,39.134500,-106.563300,100,SOTA,,
summit,W0C/SR-021,Mount White,38.656200,-106.238600,100,SOTA,,
summit,W0C/SR-022,Taylor Mountain,38.583400,-106.299500,100,SOTA,,
summit,W0C/SR-023,Mount Mamma,38.669400,-106.317900,100,SOTA,,
summit,W0C/SR-024,Mount Powell,39.760000,-106.340800,100,SOTA,,
summit,W0C/SR-025,Pettingell Peak,39.728700,-105.904700,100,SOTA,,
summit,W0C/SR-026,Mount Emma,37.974900,-107.790200,100,SOTA,,
summit,W0C/SR-027,Boulder Mountain,38.680300,-106.292700,100,SOTA,,
summit,W0C/SR-058,Mount Massive,39.187400,-106.475600,100,SOTA,,
summit,W0C/SR-059,Mount Democrat,39.339700,-106.139800,100,SOTA,,
summit,W0C/SR-060,Capitol Peak,39.150100,-107.083000,100,SOTA,,
summit,W0C/SR-061,Mount Sherman,39.224900,-106.169900,100,SOTA,,
summit,W0C/SR-062,Pyramid Peak,39.071500,-106.950200,100,SOTA,,
summit,W0C/SR-063,Cathedral Peak,39.034300,-106.859000,100,SOTA,,
summit,W0C/SR-064,Horseshoe Mountain,39.185800,-106.185000,100,SOTA,,
summit,W0C/SR-065,Mount Oklahoma,39.178800,-106.506200,100,SOTA,,
summit,W0C/SR-066,Lackawanna Peak,39.093500,-106.512200,100,SOTA,,
summit,W0C/SR-067,Mount Arkansas,39.332400,-106.178300,100,SOTA,,
summit,W0C/SR-068,Mosquito Peak,39.300300,-106.182500,100,SOTA,,
